arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant
mlp_lr3e-5,mlp_lr3e-4,0.025012850761413574,0.02010461539030075,0.03022592216730117,1.0,0.0,True,0.02607572078704834,0.01822420656681061,0.034121073782444,1.0,0.0,True
mlp_lr3e-5,cnn_lr1e-4,-0.006653785705566406,-0.01239938586950302,-0.0009909734129905704,0.01,0.99,True,-0.009764552116394043,-0.01758781522512436,-0.0010222226381301918,0.0135,0.9865,True
mlp_lr3e-5,cnn_lr3e-5,-0.01651519536972046,-0.022243861854076386,-0.010880327224731449,0.0,1.0,True,-0.02325761318206787,-0.031666684150695804,-0.014809964597225191,0.0,1.0,True
mlp_lr3e-5,cnn_lr3e-4,0.010152995586395264,0.005082735419273376,0.015717047452926635,1.0,0.0,True,0.006817996501922607,-0.0009135529398918152,0.015353623032569883,0.961,0.039,False
mlp_lr3e-5,gru_lr1e-4,-0.010806441307067871,-0.019053705036640167,-0.002653293311595919,0.002,0.998,True,-0.01485586166381836,-0.025992389023303985,-0.0039127960801124614,0.0055,0.9945,True
mlp_lr3e-5,gru_lr3e-5,-0.023065149784088135,-0.03258843719959259,-0.01345935016870501,0.0,1.0,True,-0.02306067943572998,-0.035989893972873686,-0.009748305380344395,0.0005,0.9995,True
mlp_lr3e-5,gru_lr3e-4,0.023361146450042725,0.014630620181560517,0.032511745393276205,1.0,0.0,True,0.023875772953033447,0.012099236249923706,0.03627442121505737,0.9995,0.0005,True
mlp_lr3e-5,attention_lr1e-4,-0.02727562189102173,-0.03688074052333832,-0.017634913325309767,0.0,1.0,True,-0.03388237953186035,-0.04589458703994751,-0.02222841531038285,0.0,1.0,True
mlp_lr3e-5,attention_lr3e-5,-0.03366231918334961,-0.04411449283361435,-0.02378000169992447,0.0,1.0,True,-0.03699523210525513,-0.049635814130306245,-0.024653671681880956,0.0,1.0,True
mlp_lr3e-5,attention_lr3e-4,-0.009167730808258057,-0.017273524403572084,-0.0011843457818031344,0.011,0.989,True,-0.014449715614318848,-0.024864481389522554,-0.004019656777381907,0.004,0.996,True
mlp_lr3e-5,attention_pe_lr1e-4,-0.023186326026916504,-0.03275550603866577,-0.013275080919265748,0.0,1.0,True,-0.02200549840927124,-0.034760010242462155,-0.009266291558742533,0.0,1.0,True
mlp_lr3e-5,attention_pe_lr3e-5,-0.038259685039520264,-0.04873861521482468,-0.028262892365455636,0.0,1.0,True,-0.03824383020401001,-0.05193990767002106,-0.02536743134260178,0.0,1.0,True
mlp_lr3e-5,attention_pe_lr3e-4,0.024666309356689453,0.010803668200969696,0.03871537148952482,1.0,0.0,True,0.03569859266281128,0.014115114510059357,0.0586559623479843,0.9995,0.0005,True
mlp_lr3e-4,cnn_lr1e-4,-0.03166663646697998,-0.038468973338603975,-0.02486081719398499,0.0,1.0,True,-0.03584027290344238,-0.04513738602399826,-0.02617013305425644,0.0,1.0,True
mlp_lr3e-4,cnn_lr3e-5,-0.04152804613113403,-0.049015311896800993,-0.034043595194816596,0.0,1.0,True,-0.04933333396911621,-0.06037517637014389,-0.03857192844152451,0.0,1.0,True
mlp_lr3e-4,cnn_lr3e-4,-0.01485985517501831,-0.02010176032781601,-0.009405635297298431,0.0,1.0,True,-0.019257724285125732,-0.027553050220012663,-0.011051261425018312,0.0,1.0,True
mlp_lr3e-4,gru_lr1e-4,-0.035819292068481445,-0.04540208876132965,-0.026462675631046307,0.0,1.0,True,-0.0409315824508667,-0.054096005856990814,-0.02814690619707108,0.0,1.0,True
mlp_lr3e-4,gru_lr3e-5,-0.04807800054550171,-0.05926169604063034,-0.036438448727130895,0.0,1.0,True,-0.04913640022277832,-0.06357360035181045,-0.03335975259542467,0.0,1.0,True
mlp_lr3e-4,gru_lr3e-4,-0.0016517043113708496,-0.010123847424983979,0.0069665715098381,0.3565,0.6435,False,-0.0021999478340148926,-0.01381232738494873,0.009416922926902771,0.367,0.633,False
mlp_lr3e-4,attention_lr1e-4,-0.0522884726524353,-0.06284330934286117,-0.04173087030649186,0.0,1.0,True,-0.05995810031890869,-0.07425336241722107,-0.04633445888757706,0.0,1.0,True
mlp_lr3e-4,attention_lr3e-5,-0.058675169944763184,-0.0700320690870285,-0.04698499739170075,0.0,1.0,True,-0.06307095289230347,-0.07844001352787018,-0.0478221669793129,0.0,1.0,True
