head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
gru,min,argmax,16,0.37376800179481506,0.34723275899887085,0.3995451033115387,-0.09173616021871567,-0.11448066681623459,-0.06747536361217499,0.0009995002498750624,0.035982008995502246,1319
gru,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,min,weighted_vote,2,0.3313874304294586,0.31300133988261225,0.35023692250251764,0.02247915230691433,0.017019523680210112,0.028051553294062614,0.0009995002498750624,0.035982008995502246,1319
gru,min,weighted_vote,4,0.3621683120727539,0.3421143054962158,0.3829804599285126,-0.012130402028560638,-0.0191821469925344,-0.00428354786708951,0.0009995002498750624,0.035982008995502246,1319
gru,min,weighted_vote,8,0.3985974192619324,0.3752084970474243,0.422063135355711,-0.03267626836895943,-0.04291224256157875,-0.022097233030945077,0.0009995002498750624,0.035982008995502246,1319
gru,min,weighted_vote,16,0.43593630194664,0.4086429178714752,0.4632297158241272,-0.02956785447895527,-0.04776345565915108,-0.010614101774990559,0.0029985007496251873,0.047976011994003,1319
gru,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,mean,argmax,2,0.33161482214927673,0.3134192228317261,0.35027103945612903,0.022706596180796623,0.017247917037457226,0.028242040006443852,0.0009995002498750624,0.035982008995502246,1319
gru,mean,argmax,4,0.34730854630470276,0.327555912733078,0.3675540491938591,-0.026990143582224846,-0.035102348774671555,-0.018156748684123165,0.0009995002498750624,0.035982008995502246,1319
gru,mean,argmax,8,0.363153874874115,0.3413561061024666,0.3846474587917328,-0.06811978667974472,-0.08158074878156185,-0.05401819571852684,0.0009995002498750624,0.035982008995502246,1319
gru,mean,argmax,16,0.3790750503540039,0.3517816662788391,0.4056103229522705,-0.08642911165952682,-0.11144806444644928,-0.06141015887260437,0.0009995002498750624,0.035982008995502246,1319
gru,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,mean,weighted_vote,2,0.33161482214927673,0.3134192228317261,0.35027103945612903,0.022706596180796623,0.017247917037457226,0.028242040006443852,0.0009995002498750624,0.035982008995502246,1319
gru,mean,weighted_vote,4,0.37081119418144226,0.3501137487590313,0.39211618304252627,-0.003487490816041827,-0.009781084535643459,0.003223086049547414,0.3028485757121439,1.0,1319
gru,mean,weighted_vote,8,0.41804400086402893,0.39457828402519224,0.4419276289641857,-0.013229720294475555,-0.021456595184281467,-0.004470242478419111,0.0069965017491254375,0.06296851574212894,1319
gru,mean,weighted_vote,16,0.45868080854415894,0.4298711121082306,0.4867323637008667,-0.006823351141065359,-0.021986354142427444,0.008339650928974152,0.40679660169915044,1.0,1319
gru,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
