head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
attention,two_consecutive,0.05,-8.02941608428955,0.04945717732207479,2222,2196,841,1355,26,0.04994054696789536,0.00959409594095941,0.2907749077490775,0.01918819188191882,0.11070110701107011,0.15129151291512916,2.6954314708709717,2.0,0.12210041309183349,0.10255799173816332,0.16077210460772104,0.3791706387035272,0.2704797821076891,0.3076923076923077,,,,,,,,,,,,,,,,
attention,two_consecutive,0.1,-6.927997589111328,0.09891435464414958,2222,2196,841,1355,26,0.09036860879904875,0.017712177121771217,0.422140221402214,0.037638376383763834,0.2022140221402214,0.2856088560885609,2.083916187286377,2.0,0.17755004766444232,0.1463298379408961,0.2293897882938979,0.3791706387035272,0.3859208045254557,0.6153846153846154,,,,,,,,,,,,,,,,
attention_pe,single_low,0.01,-11.375021934509277,0.009650180940892641,2222,2196,841,1355,26,0.0,0.0051660516605166054,0.045018450184501846,0.01845018450184502,0.02730627306273063,0.03247232472324723,1.688524603843689,1.0,0.013504925325707023,0.012313314267556403,0.019302615193026153,0.3791706387035272,0.032474334799916196,0.15384615384615385,,,,,,,,,,,,,,,,
attention_pe,single_low,0.05,-9.638477325439453,0.04945717732207479,2222,2196,841,1355,26,0.03804994054696789,0.025830258302583026,0.2568265682656827,0.07011070110701106,0.12915129151291513,0.16826568265682657,2.376436710357666,1.0,0.08333333333333333,0.06617413409596441,0.10373599003735991,0.3791706387035272,0.1745233605698722,0.34615384615384615,0.024970272555947304,0.052318669855594635,0.017712177708745003,0.03468634560704231,0.23247233033180237,0.28046128153800964,0.056808117777109146,0.08415131270885468,0.1106826588511467,0.14761993288993835,0.1475830227136612,0.18747234344482422,0.056717634201049805,0.07607020437717438,0.15147121250629425,0.1985798478126526
attention_pe,single_low,0.1,-8.357834815979004,0.09891435464414958,2222,2196,841,1355,26,0.10225921521997622,0.06199261992619926,0.44649446494464945,0.15867158671586715,0.26789667896678965,0.3372693726937269,1.6611570119857788,1.0,0.18779790276453764,0.13838576421989196,0.2169364881693649,0.3791706387035272,0.36496962078357426,0.6538461538461539,,,,,,,,,,,,,,,,
attention_pe,two_consecutive,0.01,-9.368963241577148,0.009650180940892641,2222,2196,841,1355,26,0.0178359096313912,0.002214022140221402,0.13357933579335793,0.006642066420664207,0.03394833948339483,0.05608856088560885,3.5469613075256348,3.0,0.04218303145853194,0.03701938353987925,0.058032378580323785,0.3791706387035272,0.0976325162371674,0.0,,,,,,,,,,,,,,,,
attention_pe,two_consecutive,0.05,-7.845124244689941,0.04945717732207479,2222,2196,841,1355,26,0.06183115338882283,0.022878228782287822,0.34464944649446494,0.022878228782287822,0.12619926199261994,0.18892988929889298,2.738758087158203,2.0,0.12082936129647283,0.09953924372418176,0.1560398505603985,0.3791706387035272,0.26251833228577415,0.46153846153846156,,,,,,,,,,,,,,,,
attention_pe,two_consecutive,0.1,-6.686916828155518,0.09891435464414958,2222,2196,841,1355,26,0.10344827586206896,0.03911439114391144,0.47158671586715867,0.04797047970479705,0.23837638376383763,0.32767527675276753,2.05633807182312,1.0,0.18628852875754687,0.14775977121067682,0.23163138231631383,0.3791706387035272,0.38969201759899436,0.6923076923076923,,,,,,,,,,,,,,,,
random_score,single_low,0.01,0.001968920463696122,0.009650180940892641,2222,2196,841,1355,26,0.008323424494649227,0.0007380073800738007,0.008856088560885609,0.0014760147601476014,0.002214022140221402,0.004428044280442804,3.0,2.0,0.005719733079122974,0.0032570702256116938,0.00510585305105853,0.3791706387035272,0.008589985334171381,0.0,,,,,,,,,,,,,,,,
random_score,single_low,0.05,0.007317781914025545,0.04945717732207479,2222,2196,841,1355,26,0.02497027348394768,0.008118081180811807,0.02952029520295203,0.006642066420664207,0.011808118081180811,0.016974169741697416,2.75,2.0,0.021369558309501113,0.010565618048935493,0.016562889165628893,0.3791706387035272,0.027865074376702284,0.0,,,,,,,,,,,,,,,,
