arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_significant,roc_auc_p_value,roc_auc_p_holm,roc_auc_significant_holm,average_precision_p_value,average_precision_p_holm,average_precision_significant_holm
gru_512,attention_512,-0.016469180583953857,-0.025228697061538696,-0.00783485770225527,0.0,True,-0.019026517868041992,-0.03078926056623459,-0.00834881365299225,0.0005,True,0.0009995002498750624,,,0.001999000499750125,,
gru_512,attention_2048,-0.014897704124450684,-0.026685278117656707,-0.0030613288283348164,0.0055,True,-0.011405766010284424,-0.023439425230026244,0.00029047727584838496,0.027,False,0.01199400299850075,,,0.054972513743128434,,
gru_512,attention_pe_512,-0.012379884719848633,-0.02212635725736618,-0.0028444036841392666,0.0055,True,-0.007149636745452881,-0.01906660944223404,0.004985648393630979,0.1105,False,0.01199400299850075,,,0.22188905547226387,,
gru_512,attention_pe_2048,-0.010969161987304688,-0.022854788601398467,0.0014377340674400323,0.0375,False,0.00038129091262817383,-0.011972258985042571,0.013269424438476559,0.505,False,0.07596201899050475,,,0.9905047476261869,,
gru_2048,attention_512,-0.013998866081237793,-0.025918954610824586,-0.0026430591940879928,0.0085,True,-0.02366054058074951,-0.035830505192279816,-0.012535138428211214,0.0005,True,0.017991004497751123,,,0.001999000499750125,,
gru_2048,attention_2048,-0.01242738962173462,-0.020898336172103883,-0.004254285991191888,0.0015,True,-0.016039788722991943,-0.027152523398399353,-0.005302794277668002,0.0035,True,0.00399800099950025,,,0.0079960019990005,,
gru_2048,attention_pe_512,-0.009909570217132568,-0.02234758585691452,0.0018880158662796,0.0475,False,-0.0117836594581604,-0.024048323929309844,0.000560319423675533,0.03,False,0.095952023988006,,,0.06096951524237881,,
gru_2048,attention_pe_2048,-0.008498847484588623,-0.017823478579521178,0.0010600283741950974,0.0415,False,-0.004252731800079346,-0.016194096207618712,0.007629624009132338,0.2315,False,0.08395802098950525,,,0.463768115942029,,
attention_512,attention_2048,0.0015714764595031738,-0.00631876140832901,0.010299599170684811,0.6255,False,0.007620751857757568,0.002275677025318146,0.013367843627929688,0.9975,True,0.7496251874062968,1.0,False,0.005997001499250375,0.01199400299850075,True
attention_512,attention_pe_512,0.004089295864105225,-0.004465141892433166,0.012630479037761676,0.8325,False,0.011876881122589111,0.002158056199550629,0.022618168592453,0.9895,True,0.335832083958021,,,0.021989005497251374,,
attention_512,attention_pe_2048,0.00550001859664917,-0.005852080881595612,0.018116207420825956,0.817,False,0.019407808780670166,0.00852830559015274,0.030649599432945214,1.0,True,0.36681659170414793,,,0.0009995002498750624,,
attention_2048,attention_pe_512,0.0025178194046020508,-0.008689139783382416,0.013227726519107816,0.6765,False,0.004256129264831543,-0.006420451402664185,0.015824702382087705,0.7785,False,0.6476761619190404,,,0.44377811094452774,,
attention_2048,attention_pe_2048,0.003928542137145996,-0.004465095698833466,0.012817008793354024,0.8165,False,0.011787056922912598,0.0017478793859481811,0.022429245710372924,0.989,True,0.367816091954023,,,0.022988505747126436,,
attention_pe_512,attention_pe_2048,0.0014107227325439453,-0.005987614393234253,0.009957827627658825,0.616,False,0.007530927658081055,0.003128768503665924,0.01214820742607116,0.999,True,0.768615692153923,1.0,False,0.0029985007496251873,0.008995502248875561,True
