head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
attention,mean,argmax,4,0.3471948206424713,0.32782222032547,0.3666072845458984,-0.027103867381811142,-0.03597422316670418,-0.018877938389778137,0.0009995002498750624,0.035982008995502246,1319
attention,mean,argmax,8,0.35598936676979065,0.33441810086369517,0.37767341136932375,-0.07528430223464966,-0.08984268736094236,-0.06114006787538531,0.0009995002498750624,0.035982008995502246,1319
attention,mean,argmax,16,0.3623957633972168,0.3358604907989502,0.38817286491394043,-0.10310841351747513,-0.12812736630439758,-0.07808946073055267,0.0009995002498750624,0.035982008995502246,1319
attention,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,mean,weighted_vote,2,0.33248671889305115,0.31436598896980283,0.3515541858971119,0.023578466847538948,0.017891394393518566,0.02907884707674382,0.0009995002498750624,0.035982008995502246,1319
attention,mean,weighted_vote,4,0.38631540536880493,0.3650862619280815,0.40826569944620134,0.012016679160296917,0.006479341327212751,0.017324680043384427,0.0009995002498750624,0.035982008995502246,1319
attention,mean,weighted_vote,8,0.4368840157985687,0.4124999940395355,0.4607307121157646,0.005610310472548008,-0.00038002220608177587,0.011600644816644485,0.06896551724137931,0.3448275862068966,1319
attention,mean,weighted_vote,16,0.476118266582489,0.4488058991730213,0.5026724919676779,0.010614101774990559,-0.0030326005071401596,0.02350265346467495,0.13993003498250875,1.0,1319
attention,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,last,argmax,2,0.3338513970375061,0.3156908631324768,0.3530325897037983,0.024943137541413307,0.019218156533315777,0.030402766214683647,0.0009995002498750624,0.035982008995502246,1319
attention,last,argmax,4,0.35117512941360474,0.3314215481281281,0.3709647536277771,-0.02312357723712921,-0.03184420168399811,-0.015010422584600752,0.0009995002498750624,0.035982008995502246,1319
attention,last,argmax,8,0.3622441291809082,0.3408235490322113,0.38358794450759887,-0.06902956962585449,-0.08324677795171738,-0.05568613093346357,0.0009995002498750624,0.035982008995502246,1319
attention,last,argmax,16,0.36997726559638977,0.34344199299812317,0.3957543671131134,-0.09552691131830215,-0.12056482527405024,-0.06974980980157852,0.0009995002498750624,0.035982008995502246,1319
attention,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,last,weighted_vote,2,0.3338513970375061,0.3156908631324768,0.3530325897037983,0.024943137541413307,0.019218156533315777,0.030402766214683647,0.0009995002498750624,0.035982008995502246,1319
attention,last,weighted_vote,4,0.38677024841308594,0.36561790108680725,0.40879549980163576,0.012471569702029228,0.006594958191271871,0.018158643972128626,0.0009995002498750624,0.035982008995502246,1319
attention,last,weighted_vote,8,0.43877938389778137,0.41440483927726746,0.46213797926902767,0.007505686022341251,0.0010614102880936115,0.013988817599602039,0.01899050474762619,0.1329335332333833,1319
attention,last,weighted_vote,16,0.476118266582489,0.44806671142578125,0.5026535391807556,0.010614101774990559,-0.0037907506339251995,0.024260804057121277,0.16391804097951024,1.0,1319
attention_pe,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention_pe,min,argmax,2,0.3282789885997772,0.3100814647972584,0.3470072031021118,0.019370732828974724,0.014252273738384247,0.024868270009756083,0.0009995002498750624,0.035982008995502246,1319
attention_pe,min,argmax,4,0.3401440680027008,0.32069751545786856,0.36038761734962466,-0.03415466472506523,-0.04321455582976341,-0.025435935612767933,0.0009995002498750624,0.035982008995502246,1319
