head,policy,budget,threshold,calibration_clean_false_prune_rate,n_trajectories,n_primary_trajectories,n_clean,n_monotone_error,n_recovery,clean_false_prune_rate,pre_error_false_prune_rate,error_coverage,detection_at_0,detection_at_1,detection_at_2,mean_detection_delay,median_detection_delay,theoretical_step_saving_rate,safe_step_saving_rate,error_only_safe_saving_rate,oracle_step_saving_rate,oracle_efficiency_ratio,recovery_prune_rate,clean_false_prune_rate_ci_low,clean_false_prune_rate_ci_high,pre_error_false_prune_rate_ci_low,pre_error_false_prune_rate_ci_high,error_coverage_ci_low,error_coverage_ci_high,detection_at_0_ci_low,detection_at_0_ci_high,detection_at_1_ci_low,detection_at_1_ci_high,detection_at_2_ci_low,detection_at_2_ci_high,safe_step_saving_rate_ci_low,safe_step_saving_rate_ci_high,oracle_efficiency_ratio_ci_low,oracle_efficiency_ratio_ci_high
attention,single_low,0.05,-8.01866626739502,0.04945717732207479,2222,2196,841,1355,26,0.05826397146254459,0.00959409594095941,0.37490774907749075,0.07306273062730627,0.16088560885608857,0.24428044280442804,2.328740119934082,2.0,0.12424531299650461,0.10660946933587544,0.16712328767123288,0.3791706387035272,0.2811648858160486,0.4230769230769231,0.04280618205666542,0.07491081953048706,0.00516605144366622,0.015498154796659946,0.3520295321941376,0.400738000869751,0.059778597205877304,0.08708487451076508,0.14169742166996002,0.1800737977027893,0.22361624240875244,0.26717713475227356,0.09604107588529587,0.11841346323490143,0.2570469081401825,0.30698058009147644
attention,single_low,0.1,-7.224754333496094,0.09891435464414958,2222,2196,841,1355,26,0.11414982164090369,0.025830258302583026,0.5070110701107011,0.13062730627306274,0.28413284132841327,0.3904059040590406,1.76128089427948,1.0,0.1873212583412774,0.15284397839211947,0.23960149439601494,0.3791706387035272,0.40310077519379844,0.6923076923076923,,,,,,,,,,,,,,,,
attention,two_consecutive,0.01,-8.96403980255127,0.009650180940892641,2222,2196,841,1355,26,0.009512485136741973,0.0014760147601476014,0.1018450184501845,0.0,0.00959409594095941,0.026568265682656828,4.5,4.0,0.03090244677470607,0.027724817286304416,0.04346201743462017,0.3791706387035272,0.07311963125916614,0.038461538461538464,,,,,,,,,,,,,,,,
attention,two_consecutive,0.05,-7.3112382888793945,0.04945717732207479,2222,2196,841,1355,26,0.06183115338882283,0.005904059040590406,0.2944649446494465,0.01107011070110701,0.08265682656826569,0.16236162361623616,2.736842155456543,2.0,0.12257705751509373,0.10438512869399429,0.16363636363636364,0.3791706387035272,0.2752985543683218,0.2692307692307692,,,,,,,,,,,,,,,,
attention,two_consecutive,0.1,-6.313857078552246,0.09891435464414958,2222,2196,841,1355,26,0.10463733650416171,0.025092250922509225,0.4154981549815498,0.03099630996309963,0.16162361623616237,0.28856088560885607,2.193605661392212,2.0,0.1785033365109628,0.14251668255481412,0.22341220423412203,0.3791706387035272,0.3758642363293526,0.5769230769230769,,,,,,,,,,,,,,,,
attention_pe,single_low,0.01,-9.42235279083252,0.009650180940892641,2222,2196,841,1355,26,0.009512485136741973,0.004428044280442804,0.14833948339483394,0.024354243542435424,0.06346863468634686,0.08929889298892989,2.5323383808135986,2.0,0.049968223705115986,0.045201779472513505,0.07085927770859278,0.3791706387035272,0.11921223549130526,0.038461538461538464,,,,,,,,,,,,,,,,
attention_pe,single_low,0.05,-8.139077186584473,0.04945717732207479,2222,2196,841,1355,26,0.04756242568370987,0.01845018450184502,0.35645756457564576,0.11660516605166052,0.22656826568265684,0.28413284132841327,1.5155279636383057,1.0,0.14744200826183668,0.12353034636161424,0.19364881693648817,0.3791706387035272,0.32579090718625603,0.5,0.03445303067564964,0.06420927494764328,0.011070110835134983,0.025830257683992386,0.33136531710624695,0.3830443024635315,0.10182657092809677,0.13505534827709198,0.2059040516614914,0.24870848655700684,0.26123616099357605,0.30848708748817444,0.11056036502122879,0.13731840252876282,0.2966558039188385,0.3567970395088196
attention_pe,single_low,0.1,-6.916729927062988,0.09891435464414958,2222,2196,841,1355,26,0.09750297265160524,0.05830258302583026,0.48044280442804427,0.23173431734317343,0.36531365313653136,0.42509225092250924,1.0552995204925537,1.0,0.23371464887194154,0.17580235144582143,0.27559153175591533,0.3791706387035272,0.46364969620783575,0.7307692307692307,,,,,,,,,,,,,,,,
attention_pe,two_consecutive,0.01,-8.778721809387207,0.009650180940892641,2222,2196,841,1355,26,0.015457788347205707,0.0007380073800738007,0.15276752767527677,0.0051660516605166054,0.035424354243542434,0.07896678966789668,3.2608695030212402,2.0,0.05886558627264061,0.054893549412138545,0.08605230386052304,0.3791706387035272,0.1447726796564006,0.15384615384615385,,,,,,,,,,,,,,,,
attention_pe,two_consecutive,0.05,-7.295197486877441,0.04945717732207479,2222,2196,841,1355,26,0.0535077288941736,0.014022140221402213,0.32619926199261995,0.016236162361623615,0.15719557195571957,0.23321033210332104,2.1289591789245605,2.0,0.14045122338735302,0.1201938353987925,0.1884184308841843,0.3791706387035272,0.31699141001466585,0.46153846153846156,,,,,,,,,,,,,,,,
