head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
mlp,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,min,argmax,2,0.3321455717086792,0.3137604288756847,0.35106140449643136,0.023237301036715508,0.017967211408540608,0.028621110692620272,0.0009995002498750624,0.017991004497751123,1319
mlp,min,argmax,4,0.3434799313545227,0.32433564141392707,0.363344394415617,-0.03081880323588848,-0.03931008288636804,-0.022592872334644198,0.0009995002498750624,0.017991004497751123,1319
mlp,min,argmax,8,0.35644426941871643,0.33574107885360716,0.3779378242790699,-0.07482941448688507,-0.08904757034033536,-0.06000662846490741,0.0009995002498750624,0.017991004497751123,1319
mlp,min,argmax,16,0.36012130975723267,0.33434420824050903,0.3866565525531769,-0.10538286715745926,-0.1304018199443817,-0.08261940684169541,0.0009995002498750624,0.017991004497751123,1319
mlp,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,min,weighted_vote,2,0.3321455717086792,0.3137604288756847,0.35106140449643136,0.023237301036715508,0.017967211408540608,0.028621110692620272,0.0009995002498750624,0.017991004497751123,1319
mlp,min,weighted_vote,4,0.3862774968147278,0.3650862343609333,0.40777575969696045,0.011978771537542343,0.007278242125175893,0.016565579921007156,0.0009995002498750624,0.017991004497751123,1319
mlp,min,weighted_vote,8,0.4388551712036133,0.41516203433275223,0.46258621737360955,0.007581501267850399,0.0024251322494819763,0.012737868865951891,0.008995502248875561,0.035982008995502246,1319
mlp,min,weighted_vote,16,0.4730856716632843,0.44503411650657654,0.5003790855407715,0.007581501267850399,-0.004548900760710239,0.018953753635287285,0.25687156421789104,0.9835082458770614,1319
mlp,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,mean,argmax,2,0.32551175355911255,0.3077283799648285,0.3437073536217213,0.016603486612439156,0.011370356078259647,0.021834721788764,0.0009995002498750624,0.017991004497751123,1319
mlp,mean,argmax,4,0.3366565704345703,0.31732184812426567,0.35587661862373354,-0.03764215484261513,-0.04575530579313636,-0.02983130970969797,0.0009995002498750624,0.017991004497751123,1319
mlp,mean,argmax,8,0.33642908930778503,0.3159959979355335,0.35717116519808767,-0.09484457224607468,-0.10860690027475357,-0.08123484086245299,0.0009995002498750624,0.017991004497751123,1319
mlp,mean,argmax,16,0.33661866188049316,0.31084156036376953,0.3631539046764374,-0.12888552248477936,-0.154662624001503,-0.10462471842765808,0.0009995002498750624,0.017991004497751123,1319
mlp,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,mean,weighted_vote,2,0.32551175355911255,0.3077283799648285,0.3437073536217213,0.016603486612439156,0.011370356078259647,0.021834721788764,0.0009995002498750624,0.017991004497751123,1319
mlp,mean,weighted_vote,4,0.38476118445396423,0.36341926380991935,0.40621777847409246,0.010462471283972263,0.0065570505685172975,0.0144048519898206,0.0009995002498750624,0.017991004497751123,1319
mlp,mean,weighted_vote,8,0.43680816888809204,0.4125852882862091,0.4605439834296703,0.005534495692700148,0.002122820582007989,0.008680819533765316,0.004997501249375313,0.024987506246876564,1319
mlp,mean,weighted_vote,16,0.47839272022247314,0.4495830237865448,0.5056861042976379,0.012888551689684391,0.0037717968807555744,0.021986354142427444,0.012993503248375811,0.1169415292353823,1319
mlp,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,last,argmax,2,0.3292645812034607,0.31152107045054434,0.34787717536091806,0.020356329157948494,0.015163002489134669,0.025778051046654576,0.0009995002498750624,0.017991004497751123,1319
mlp,last,argmax,4,0.33809706568717957,0.31872535347938535,0.35731995627284047,-0.03620166704058647,-0.04427786441519856,-0.027974790381267673,0.0009995002498750624,0.017991004497751123,1319
mlp,last,argmax,8,0.3479529917240143,0.3269133634865284,0.36963608860969543,-0.08332069963216782,-0.09636277239769697,-0.06948350965976716,0.0009995002498750624,0.017991004497751123,1319
